"FinancialYear","HBT","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"2014/15","S08000019","SMR01"," ",570,580,405,345,"",":"
"2014/15","S08000019","SMR04"," ",1195,1195,965,830,"165"," "
"2014/15","S08000020","Total","d",2900,2910,2545,1975,"295"," "
"2014/15","S08000020","SMR01"," ",975,970,815,710,"",":"
"2014/15","S08000020","SMR04"," ",1925,1945,1725,1315,"295"," "
"2014/15","S08000031","Total","d",11095,11095,7915,6385,"1050"," "
"2014/15","S08000031","SMR01"," ",5670,5665,3370,2675,"",":"
"2014/15","S08000031","SMR04"," ",5425,5430,4545,3985,"1050"," "
"2014/15","S08000022","Total","d",2305,2310,1805,1480,"170"," "
"2014/15","S08000022","SMR01"," ",1110,1105,750,640,"",":"
"2014/15","S08000022","SMR04"," ",1195,1205,1060,910,"170"," "
"2014/15","S08000032","Total","d",4535,4545,3020,2505,"335"," "
"2014/15","S08000032","SMR01"," ",2780,2785,1535,1280,"",":"
"2014/15","S08000032","SMR04"," ",1755,1760,1485,1320,"335"," "
"2014/15","S08000024","Total","d",6310,6270,4585,3710,"620"," "
"2014/15","S08000024","SMR01"," ",2825,2810,1810,1600,"",":"
"2014/15","S08000024","SMR04"," ",3485,3455,2775,2270,"620"," "
"2014/15","S08000025","Total","d",80,80,70,60,"0"," "
"2014/15","S08000025","SMR01"," ",80,80,70,60,"",":"
"2014/15","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2014/15","S08000026","Total","d",85,85,85,60,"0"," "
"2014/15","S08000026","SMR01"," ",85,85,85,60,"",":"
"2014/15","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2014/15","S08000030","Total","d",3200,3200,2515,2100,"290"," "
"2014/15","S08000030","SMR01"," ",975,975,700,645,"",":"
"2014/15","S08000030","SMR04"," ",2225,2220,1815,1515,"290"," "
"2014/15","S08000028","Total","d",105,105,90,80,"20"," "
"2014/15","S08000028","SMR01"," ",70,70,60,55,"",":"
"2014/15","S08000028","SMR04"," ",35,35,30,30,"20"," "
"2014/15","SB0802","Total","d",110,120,10,80,"120"," "
"2014/15","SB0802","SMR01"," ",0,0,0,0,"",":"
"2014/15","SB0802","SMR04"," ",110,120,10,80,"120"," "
"2015/16","S08000015","Total","d",2430,2455,1865,1515,"185"," "
"2015/16","S08000015","SMR01"," ",1190,1190,795,685,"",":"
"2015/16","S08000015","SMR04"," ",1245,1265,1075,915,"185"," "
"2015/16","S08000016","Total","d",775,780,570,465,"50"," "
"2015/16","S08000016","SMR01"," ",285,285,190,175,"",":"
"2015/16","S08000016","SMR04"," ",495,495,385,305,"50"," "
"2015/16","S08000017","Total","d",1375,1390,1095,625,"55"," "
"2015/16","S08000017","SMR01"," ",590,590,445,295,"",":"
"2015/16","S08000017","SMR04"," ",780,800,655,385,"55"," "
"2015/16","S08000029","Total","d",2565,2585,1885,1560,"195"," "
"2015/16","S08000029","SMR01"," ",1125,1120,740,660,"",":"
"2015/16","S08000029","SMR04"," ",1440,1465,1145,965,"195"," "
"2015/16","S08000019","Total","d",1955,1945,1510,1225,"170"," "
"2015/16","S08000019","SMR01"," ",575,570,405,365,"",":"
"2015/16","S08000019","SMR04"," ",1380,1375,1105,915,"170"," "
"2015/16","S08000020","Total","d",3100,3100,2645,2120,"310"," "
"2015/16","S08000020","SMR01"," ",1185,1195,1000,855,"",":"
"2015/16","S08000020","SMR04"," ",1920,1905,1645,1315,"310"," "
"2015/16","S08000031","Total","d",12510,12505,8240,6655,"1055"," "
"2015/16","S08000031","SMR01"," ",7005,7005,3790,3005,"",":"
"2015/16","S08000031","SMR04"," ",5505,5500,4450,3925,"1055"," "
"2015/16","S08000022","Total","d",2350,2350,1760,1445,"180"," "
"2015/16","S08000022","SMR01"," ",1060,1060,695,630,"",":"
"2015/16","S08000022","SMR04"," ",1290,1290,1065,890,"180"," "
"2015/16","S08000032","Total","d",4800,4830,3075,2500,"310"," "
"2015/16","S08000032","SMR01"," ",2980,2985,1525,1270,"",":"
"2015/16","S08000032","SMR04"," ",1820,1845,1550,1315,"310"," "
"2015/16","S08000024","Total","d",6435,6475,4595,3855,"580"," "
"2015/16","S08000024","SMR01"," ",2935,2935,1865,1695,"",":"
"2015/16","S08000024","SMR04"," ",3495,3540,2730,2320,"580"," "
"2015/16","S08000025","Total","d",60,60,55,45,"0"," "
"2015/16","S08000025","SMR01"," ",60,60,55,45,"",":"
"2015/16","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2015/16","S08000026","Total","d",70,70,65,55,"0"," "
"2015/16","S08000026","SMR01"," ",70,70,65,55,"",":"
"2015/16","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2015/16","S08000030","Total","d",3640,3630,2755,2205,"290"," "
"2015/16","S08000030","SMR01"," ",1250,1240,810,750,"",":"
"2015/16","S08000030","SMR04"," ",2390,2390,1945,1545,"290"," "
"2015/16","S08000028","Total","d",155,155,115,105,"20"," "
"2015/16","S08000028","SMR01"," ",115,110,80,75,"",":"
"2015/16","S08000028","SMR04"," ",40,45,35,35,"20"," "
"2015/16","SB0802","Total","d",90,95,15,75,"115"," "
"2015/16","SB0802","SMR01"," ",0,0,0,0,"",":"
"2015/16","SB0802","SMR04"," ",90,95,15,75,"115"," "
"2016/17","S08000015","Total","d",2680,2675,1935,1590,"190"," "
"2016/17","S08000015","SMR01"," ",1460,1455,940,785,"",":"
"2016/17","S08000015","SMR04"," ",1225,1220,995,885,"190"," "
"2016/17","S08000016","Total","d",705,705,550,455,"55"," "
"2016/17","S08000016","SMR01"," ",265,265,185,165,"",":"
"2016/17","S08000016","SMR04"," ",445,440,365,305,"55"," "
"2016/17","S08000017","Total","d",1560,1555,1075,610,"65"," "
"2016/17","S08000017","SMR01"," ",710,720,540,305,"",":"
"2016/17","S08000017","SMR04"," ",845,835,535,365,"65"," "
"2016/17","S08000029","Total","d",2850,2830,2030,1675,"215"," "
"2016/17","S08000029","SMR01"," ",1360,1365,850,770,"",":"
"2016/17","S08000029","SMR04"," ",1485,1465,1180,975,"215"," "
"2016/17","S08000019","Total","d",2120,2105,1550,1260,"170"," "
"2016/17","S08000019","SMR01"," ",690,680,450,405,"",":"
"2016/17","S08000019","SMR04"," ",1430,1425,1100,905,"170"," "
"2016/17","S08000020","Total","d",3010,3000,2525,2050,"305"," "
"2016/17","S08000020","SMR01"," ",1320,1310,1030,860,"",":"
"2016/17","S08000020","SMR04"," ",1685,1690,1495,1245,"305"," "
"2016/17","S08000031","Total","d",13565,13670,8780,6980,"945"," "
"2016/17","S08000031","SMR01"," ",8425,8430,4410,3450,"",":"
"2016/17","S08000031","SMR04"," ",5140,5240,4375,3815,"945"," "
"2016/17","S08000022","Total","d",2185,2175,1710,1415,"180"," "
"2016/17","S08000022","SMR01"," ",1105,1100,770,670,"",":"
"2016/17","S08000022","SMR04"," ",1075,1075,940,820,"180"," "
"2016/17","S08000032","Total","d",5060,5060,3145,2615,"305"," "
"2016/17","S08000032","SMR01"," ",3165,3155,1580,1385,"",":"
"2016/17","S08000032","SMR04"," ",1900,1905,1565,1335,"305"," "
"2016/17","S08000024","Total","d",6455,6455,4560,3715,"575"," "
"2016/17","S08000024","SMR01"," ",2985,2975,1840,1625,"",":"
"2016/17","S08000024","SMR04"," ",3475,3480,2720,2235,"575"," "
"2016/17","S08000025","Total","d",25,30,25,20,"0"," "
"2016/17","S08000025","SMR01"," ",25,30,25,20,"",":"
"2016/17","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2016/17","S08000026","Total","d",75,75,70,65,"0"," "
"2016/17","S08000026","SMR01"," ",75,75,70,65,"",":"
"2016/17","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2016/17","S08000030","Total","d",3740,3750,2800,2240,"280"," "
"2016/17","S08000030","SMR01"," ",1350,1355,865,775,"",":"
"2016/17","S08000030","SMR04"," ",2390,2395,1930,1565,"280"," "
"2016/17","S08000028","Total","d",145,145,125,95,"20"," "
"2016/17","S08000028","SMR01"," ",110,110,90,70,"",":"
"2016/17","S08000028","SMR04"," ",35,35,30,30,"20"," "
"2016/17","SB0802","Total","d",135,140,20,95,"110"," "
"2016/17","SB0802","SMR01"," ",0,0,0,0,"",":"
"2016/17","SB0802","SMR04"," ",135,140,20,95,"110"," "
"2017/18","S08000015","Total","d",2565,2560,1910,1535,"200"," "
"2017/18","S08000015","SMR01"," ",1450,1455,925,760,"",":"
"2017/18","S08000015","SMR04"," ",1115,1105,980,865,"200"," "
"2017/18","S08000016","Total","d",830,825,615,505,"55"," "
"2017/18","S08000016","SMR01"," ",405,400,255,220,"",":"
"2017/18","S08000016","SMR04"," ",425,425,360,300,"55"," "
"2017/18","S08000017","Total","d",1530,1525,1055,645,"70"," "
"2017/18","S08000017","SMR01"," ",700,695,475,300,"",":"
"2017/18","S08000017","SMR04"," ",835,825,580,385,"70"," "
"2017/18","S08000029","Total","d",3525,3535,2290,1835,"205"," "
"2017/18","S08000029","SMR01"," ",1990,1985,1180,1050,"",":"
"2017/18","S08000029","SMR04"," ",1535,1550,1110,865,"205"," "
"2017/18","S08000019","Total","d",2160,2140,1610,1290,"190"," "
"2017/18","S08000019","SMR01"," ",805,805,570,490,"",":"
"2017/18","S08000019","SMR04"," ",1350,1335,1040,855,"190"," "
"2017/18","S08000020","Total","d",3010,3025,2550,2020,"300"," "
"2017/18","S08000020","SMR01"," ",1230,1240,980,805,"",":"
"2017/18","S08000020","SMR04"," ",1780,1790,1570,1275,"300"," "
"2017/18","S08000031","Total","d",14760,14790,9155,7290,"920"," "
"2017/18","S08000031","SMR01"," ",9215,9195,4690,3655,"",":"
"2017/18","S08000031","SMR04"," ",5550,5595,4465,3930,"920"," "
"2017/18","S08000022","Total","d",2130,2155,1665,1385,"165"," "
"2017/18","S08000022","SMR01"," ",1040,1050,725,635,"",":"
"2017/18","S08000022","SMR04"," ",1085,1100,940,825,"165"," "
"2017/18","S08000032","Total","d",5340,5360,3090,2585,"280"," "
"2017/18","S08000032","SMR01"," ",3595,3590,1660,1435,"",":"
"2017/18","S08000032","SMR04"," ",1740,1770,1430,1235,"280"," "
"2017/18","S08000024","Total","d",6870,6885,4560,3770,"550"," "
"2017/18","S08000024","SMR01"," ",3385,3380,1890,1695,"",":"
"2017/18","S08000024","SMR04"," ",3485,3505,2670,2225,"550"," "
"2017/18","S08000025","Total","d",70,70,65,50,"0"," "
"2017/18","S08000025","SMR01"," ",70,70,65,50,"",":"
"2017/18","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2017/18","S08000026","Total","d",90,90,90,70,"0"," "
"2017/18","S08000026","SMR01"," ",90,90,90,70,"",":"
"2017/18","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2017/18","S08000030","Total","d",3525,3490,2615,2165,"310"," "
"2017/18","S08000030","SMR01"," ",1570,1565,1010,875,"",":"
"2017/18","S08000030","SMR04"," ",1955,1925,1605,1405,"310"," "
"2017/18","S08000028","Total","d",195,195,155,120,"15"," "
"2017/18","S08000028","SMR01"," ",155,155,120,95,"",":"
"2017/18","S08000028","SMR04"," ",40,40,35,35,"15"," "
"2017/18","SB0802","Total","d",120,125,15,85,"110"," "
"2017/18","SB0802","SMR01"," ",0,0,0,0,"",":"
"2017/18","SB0802","SMR04"," ",120,125,15,85,"110"," "
"2018/19","S08000015","Total","d",2670,2680,2000,1620,"175"," "
"2018/19","S08000015","SMR01"," ",1545,1530,970,815,"",":"
"2018/19","S08000015","SMR04"," ",1125,1150,1030,895,"175"," "
"2018/19","S08000016","Total","d",855,860,545,470,"50"," "
"2018/19","S08000016","SMR01"," ",440,440,225,200,"",":"
"2018/19","S08000016","SMR04"," ",415,420,320,280,"50"," "
"2018/19","S08000017","Total","d",1730,1715,1140,600,"85"," "
"2018/19","S08000017","SMR01"," ",690,695,530,255,"",":"
"2018/19","S08000017","SMR04"," ",1035,1025,610,395,"85"," "
"2018/19","S08000029","Total","d",3645,3635,2355,1860,"205"," "
"2018/19","S08000029","SMR01"," ",2070,2060,1240,1070,"",":"
"2018/19","S08000029","SMR04"," ",1575,1575,1115,875,"205"," "
"2018/19","S08000019","Total","d",2115,2135,1580,1270,"160"," "
"2018/19","S08000019","SMR01"," ",895,890,600,510,"",":"
"2018/19","S08000019","SMR04"," ",1220,1250,980,815,"160"," "
"2018/19","S08000020","Total","d",3200,3220,2635,2110,"280"," "
"2018/19","S08000020","SMR01"," ",1445,1445,1120,940,"",":"
"2018/19","S08000020","SMR04"," ",1755,1775,1515,1240,"280"," "
"2018/19","S08000031","Total","d",15320,15290,9315,7205,"950"," "
"2018/19","S08000031","SMR01"," ",9065,9055,4625,3575,"",":"
"2018/19","S08000031","SMR04"," ",6255,6235,4685,3945,"950"," "
"2018/19","S08000022","Total","d",2130,2125,1615,1350,"155"," "
"2018/19","S08000022","SMR01"," ",1210,1195,815,715,"",":"
"2018/19","S08000022","SMR04"," ",915,930,800,720,"155"," "
"2018/19","S08000032","Total","d",5795,5765,3310,2650,"295"," "
"2018/19","S08000032","SMR01"," ",4050,4035,1885,1575,"",":"
"2018/19","S08000032","SMR04"," ",1745,1735,1425,1175,"295"," "
"2018/19","S08000024","Total","d",7065,7095,4760,3935,"525"," "
"2018/19","S08000024","SMR01"," ",3605,3610,2100,1855,"",":"
"2018/19","S08000024","SMR04"," ",3455,3485,2660,2235,"525"," "
"2018/19","S08000025","Total","d",70,70,65,50,"0"," "
"2018/19","S08000025","SMR01"," ",70,70,65,50,"",":"
"2018/19","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2018/19","S08000026","Total","d",90,90,90,85,"0"," "
"2018/19","S08000026","SMR01"," ",90,90,90,85,"",":"
"2018/19","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2018/19","S08000030","Total","d",3855,3870,2910,2340,"290"," "
"2018/19","S08000030","SMR01"," ",1620,1615,1090,965,"",":"
"2018/19","S08000030","SMR04"," ",2235,2255,1820,1510,"290"," "
"2018/19","S08000028","Total","d",190,195,150,130,"5"," "
"2018/19","S08000028","SMR01"," ",145,140,105,90,"",":"
"2018/19","S08000028","SMR04"," ",45,55,50,50,"5"," "
"2018/19","SB0802","Total","d",80,75,20,65,"110"," "
"2018/19","SB0802","SMR01"," ",0,0,0,0,"",":"
"2018/19","SB0802","SMR04"," ",80,75,20,65,"110"," "
"2019/20","S08000015","Total","d",2485,2520,1815,1480,"155"," "
"2019/20","S08000015","SMR01"," ",1480,1495,910,770,"",":"
"2019/20","S08000015","SMR04"," ",1005,1025,910,775,"155"," "
"2019/20","S08000016","Total","d",970,995,675,535,"35"," "
"2019/20","S08000016","SMR01"," ",505,510,280,235,"",":"
"2019/20","S08000016","SMR04"," ",465,480,395,315,"35"," "
"2019/20","S08000017","Total","d",1645,1655,1180,640,"70"," "
"2019/20","S08000017","SMR01"," ",775,780,555,285,"",":"
"2019/20","S08000017","SMR04"," ",865,880,630,420,"70"," "
"2019/20","S08000029","Total","d",3480,3565,2335,1845,"140"," "
"2019/20","S08000029","SMR01"," ",1950,1970,1210,1035,"",":"
"2019/20","S08000029","SMR04"," ",1530,1600,1120,885,"140"," "
"2019/20","S08000019","Total","d",3290,3350,1725,1390,"115"," "
"2019/20","S08000019","SMR01"," ",2040,2050,850,725,"",":"
"2019/20","S08000019","SMR04"," ",1250,1300,875,750,"115"," "
"2019/20","S08000020","Total","d",3290,3365,2810,2130,"210"," "
"2019/20","S08000020","SMR01"," ",1430,1440,1175,950,"",":"
"2019/20","S08000020","SMR04"," ",1855,1925,1630,1250,"210"," "
"2019/20","S08000031","Total","d",16225,16455,9715,7395,"765"," "
"2019/20","S08000031","SMR01"," ",10045,10090,5005,3740,"",":"
"2019/20","S08000031","SMR04"," ",6180,6365,4710,3970,"765"," "
"2019/20","S08000022","Total","d",2155,2200,1610,1345,"130"," "
"2019/20","S08000022","SMR01"," ",1260,1280,835,730,"",":"
"2019/20","S08000022","SMR04"," ",900,925,775,670,"130"," "
"2019/20","S08000032","Total","d",6090,6195,3540,2815,"225"," "
"2019/20","S08000032","SMR01"," ",4450,4490,2090,1695,"",":"
"2019/20","S08000032","SMR04"," ",1640,1710,1450,1220,"225"," "
"2019/20","S08000024","Total","d",7570,7675,5090,4095,"460"," "
"2019/20","S08000024","SMR01"," ",4070,4105,2275,1915,"",":"
"2019/20","S08000024","SMR04"," ",3505,3570,2815,2315,"460"," "
"2019/20","S08000025","Total","d",60,60,60,45,"0"," "
"2019/20","S08000025","SMR01"," ",60,60,60,45,"",":"
"2019/20","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2019/20","S08000026","Total","d",95,95,90,75,"0"," "
"2019/20","S08000026","SMR01"," ",95,95,90,75,"",":"
"2019/20","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2019/20","S08000030","Total","d",4075,4130,2985,2415,"255"," "
"2019/20","S08000030","SMR01"," ",2065,2085,1300,1090,"",":"
"2019/20","S08000030","SMR04"," ",2010,2045,1680,1430,"255"," "
"2019/20","S08000028","Total","d",185,185,145,125,"5"," "
"2019/20","S08000028","SMR01"," ",130,135,105,95,"",":"
"2019/20","S08000028","SMR04"," ",55,55,45,35,"5"," "
"2019/20","SB0802","Total","d",100,95,20,80,"115"," "
"2019/20","SB0802","SMR01"," ",0,0,0,0,"",":"
"2019/20","SB0802","SMR04"," ",100,95,20,80,"115"," "
"2020/21","S08000015","Total","d",2330,2305,1705,1435,"170"," "
"2020/21","S08000015","SMR01"," ",1400,1390,905,785,"",":"
"2020/21","S08000015","SMR04"," ",930,915,800,715,"170"," "
"2020/21","S08000016","Total","d",960,950,615,475,"35"," "
"2020/21","S08000016","SMR01"," ",500,495,245,220,"",":"
"2020/21","S08000016","SMR04"," ",460,455,370,275,"35"," "
"2020/21","S08000017","Total","d",1355,1335,1025,600,"90"," "
"2020/21","S08000017","SMR01"," ",680,680,485,265,"",":"
"2020/21","S08000017","SMR04"," ",675,655,540,375,"90"," "
"2020/21","S08000029","Total","d",2965,2920,1885,1510,"165"," "
"2020/21","S08000029","SMR01"," ",1825,1805,1080,915,"",":"
"2020/21","S08000029","SMR04"," ",1140,1115,805,650,"165"," "
"2020/21","S08000019","Total","d",3625,3600,1615,1270,"125"," "
"2020/21","S08000019","SMR01"," ",2275,2265,805,675,"",":"
"2020/21","S08000019","SMR04"," ",1350,1335,810,670,"125"," "
"2020/21","S08000020","Total","d",3380,3340,2670,2040,"245"," "
"2020/21","S08000020","SMR01"," ",1560,1555,1200,995,"",":"
"2020/21","S08000020","SMR04"," ",1820,1785,1470,1110,"245"," "
"2020/21","S08000031","Total","d",16615,16490,8735,6695,"830"," "
"2020/21","S08000031","SMR01"," ",10545,10480,4555,3510,"",":"
"2020/21","S08000031","SMR04"," ",6075,6010,4180,3485,"830"," "
"2020/21","S08000022","Total","d",1975,1965,1250,1075,"125"," "
"2020/21","S08000022","SMR01"," ",1290,1275,730,635,"",":"
"2020/21","S08000022","SMR04"," ",685,685,520,500,"125"," "
"2020/21","S08000032","Total","d",5145,5125,3095,2410,"220"," "
"2020/21","S08000032","SMR01"," ",3695,3670,1835,1480,"",":"
"2020/21","S08000032","SMR04"," ",1450,1455,1260,1000,"220"," "
"2020/21","S08000024","Total","d",8000,7915,4965,3990,"505"," "
"2020/21","S08000024","SMR01"," ",4385,4345,2240,1915,"",":"
"2020/21","S08000024","SMR04"," ",3615,3570,2730,2250,"505"," "
"2020/21","S08000025","Total","d",60,55,50,40,"0"," "
"2020/21","S08000025","SMR01"," ",60,55,50,40,"",":"
"2020/21","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2020/21","S08000026","Total","d",75,70,65,55,"0"," "
"2020/21","S08000026","SMR01"," ",75,70,65,55,"",":"
"2020/21","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2020/21","S08000030","Total","d",3590,3535,2605,2105,"290"," "
"2020/21","S08000030","SMR01"," ",1755,1735,1125,955,"",":"
"2020/21","S08000030","SMR04"," ",1835,1805,1480,1270,"290"," "
"2020/21","S08000028","Total","d",150,150,120,95,"5"," "
"2020/21","S08000028","SMR01"," ",85,85,70,60,"",":"
"2020/21","S08000028","SMR04"," ",65,65,55,45,"5"," "
"2020/21","SB0802","Total","d",90,85,20,70,"115"," "
"2020/21","SB0802","SMR01"," ",0,0,0,0,"",":"
"2020/21","SB0802","SMR04"," ",90,85,20,70,"115"," "
"2021/22","S08000015","Total","d",2165,2155,1565,1350,"170"," "
"2021/22","S08000015","SMR01"," ",1310,1305,830,725,"",":"
"2021/22","S08000015","SMR04"," ",855,850,735,675,"170"," "
"2021/22","S08000016","Total","d",815,810,515,425,"35"," "
"2021/22","S08000016","SMR01"," ",385,385,180,170,"",":"
"2021/22","S08000016","SMR04"," ",430,430,335,265,"35"," "
"2021/22","S08000017","Total","d",1285,1290,980,590,"85"," "
"2021/22","S08000017","SMR01"," ",575,580,425,230,"",":"
"2021/22","S08000017","SMR04"," ",710,715,550,390,"85"," "
"2021/22","S08000029","Total","d",3370,3370,2200,1770,"175"," "
"2021/22","S08000029","SMR01"," ",2090,2100,1240,1050,"",":"
"2021/22","S08000029","SMR04"," ",1280,1270,960,780,"175"," "
"2021/22","S08000019","Total","d",3315,3305,1535,1270,"140"," "
"2021/22","S08000019","SMR01"," ",2105,2105,735,640,"",":"
"2021/22","S08000019","SMR04"," ",1210,1200,800,690,"140"," "
"2021/22","S08000020","Total","d",3265,3265,2675,2100,"240"," "
"2021/22","S08000020","SMR01"," ",1660,1650,1305,1070,"",":"
"2021/22","S08000020","SMR04"," ",1605,1610,1375,1100,"240"," "
"2021/22","S08000031","Total","d",16175,16160,8495,6595,"825"," "
"2021/22","S08000031","SMR01"," ",10815,10795,4680,3615,"",":"
"2021/22","S08000031","SMR04"," ",5360,5365,3815,3270,"825"," "
"2021/22","S08000022","Total","d",1920,1915,1230,1045,"125"," "
"2021/22","S08000022","SMR01"," ",1345,1345,780,675,"",":"
"2021/22","S08000022","SMR04"," ",575,570,450,435,"125"," "
"2021/22","S08000032","Total","d",5505,5490,3125,2475,"225"," "
"2021/22","S08000032","SMR01"," ",3990,3975,1820,1500,"",":"
"2021/22","S08000032","SMR04"," ",1520,1515,1305,1065,"225"," "
"2021/22","S08000024","Total","d",8200,8195,4905,3940,"495"," "
"2021/22","S08000024","SMR01"," ",4685,4665,2140,1875,"",":"
"2021/22","S08000024","SMR04"," ",3515,3530,2765,2230,"495"," "
"2021/22","S08000025","Total","d",55,55,50,45,"0"," "
"2021/22","S08000025","SMR01"," ",55,55,50,45,"",":"
"2021/22","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2021/22","S08000026","Total","d",90,90,85,75,"0"," "
"2021/22","S08000026","SMR01"," ",90,90,85,75,"",":"
"2021/22","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2021/22","S08000030","Total","d",3755,3755,2840,2325,"290"," "
"2021/22","S08000030","SMR01"," ",1930,1930,1290,1085,"",":"
"2021/22","S08000030","SMR04"," ",1820,1825,1550,1350,"290"," "
"2021/22","S08000028","Total","d",165,165,135,105,"5"," "
"2021/22","S08000028","SMR01"," ",95,100,75,60,"",":"
"2021/22","S08000028","SMR04"," ",65,70,60,55,"5"," "
"2021/22","SB0802","Total","d",40,35,15,35,"115"," "
"2021/22","SB0802","SMR01"," ",0,0,0,0,"",":"
"2021/22","SB0802","SMR04"," ",40,35,15,35,"115"," "
"2022/23","S08000015","Total","d",1975,2005,1485,1280,"170"," "
"2022/23","S08000015","SMR01"," ",1145,1175,775,675,"",":"
"2022/23","S08000015","SMR04"," ",830,830,710,655,"170"," "
"2022/23","S08000016","Total","d",660,660,450,380,"45"," "
"2022/23","S08000016","SMR01"," ",235,240,125,115,"",":"
"2022/23","S08000016","SMR04"," ",425,415,325,270,"45"," "
"2022/23","S08000017","Total","d",1325,1300,1020,585,"115"," "
"2022/23","S08000017","SMR01"," ",615,615,455,220,"",":"
"2022/23","S08000017","SMR04"," ",715,680,565,400,"115"," "
"2022/23","S08000029","Total","d",3425,3450,2180,1755,"185"," "
"2022/23","S08000029","SMR01"," ",2175,2210,1300,1090,"",":"
"2022/23","S08000029","SMR04"," ",1250,1240,880,750,"185"," "
"2022/23","S08000019","Total","d",3510,3570,1565,1290,"100"," "
"2022/23","S08000019","SMR01"," ",2555,2575,800,670,"",":"
"2022/23","S08000019","SMR04"," ",955,995,765,660,"100"," "
"2022/23","S08000020","Total","d",2915,2925,2380,1910,"250"," "
"2022/23","S08000020","SMR01"," ",1405,1425,1180,950,"",":"
"2022/23","S08000020","SMR04"," ",1515,1500,1200,1010,"250"," "
"2022/23","S08000031","Total","d",15095,15265,7990,6040,"785"," "
"2022/23","S08000031","SMR01"," ",9655,9785,4125,3060,"",":"
"2022/23","S08000031","SMR04"," ",5445,5480,3870,3225,"785"," "
"2022/23","S08000022","Total","d",1900,1915,1250,1035,"130"," "
"2022/23","S08000022","SMR01"," ",1285,1315,765,630,"",":"
"2022/23","S08000022","SMR04"," ",620,595,490,450,"130"," "
"2022/23","S08000032","Total","d",5185,5205,2920,2305,"255"," "
"2022/23","S08000032","SMR01"," ",3675,3725,1625,1305,"",":"
"2022/23","S08000032","SMR04"," ",1515,1485,1295,1070,"255"," "
"2022/23","S08000024","Total","d",7795,7900,4525,3805,"480"," "
"2022/23","S08000024","SMR01"," ",4335,4425,1945,1685,"",":"
"2022/23","S08000024","SMR04"," ",3460,3475,2585,2265,"480"," "
"2022/23","S08000025","Total","d",55,60,55,50,"0"," "
"2022/23","S08000025","SMR01"," ",55,60,55,50,"",":"
"2022/23","S08000025","SMR04"," ",0,0,0,0,"0"," "
"2022/23","S08000026","Total","d",75,75,70,50,"0"," "
"2022/23","S08000026","SMR01"," ",75,75,70,50,"",":"
"2022/23","S08000026","SMR04"," ",0,0,0,0,"0"," "
"2022/23","S08000030","Total","d",3535,3595,2750,2280,"265"," "
"2022/23","S08000030","SMR01"," ",1900,1925,1290,1085,"",":"
"2022/23","S08000030","SMR04"," ",1635,1665,1460,1300,"265"," "
"2022/23","S08000028","Total","d",170,170,145,115,"5"," "
"2022/23","S08000028","SMR01"," ",100,100,85,65,"",":"
"2022/23","S08000028","SMR04"," ",70,70,60,50,"5"," "
"2022/23","SB0802","Total","d",50,55,15,55,"110"," "
"2022/23","SB0802","SMR01"," ",0,0,0,0,"",":"
"2022/23","SB0802","SMR04"," ",50,55,15,55,"110"," "
