"FinancialYear","HBT","HBTQF","Dataset","PercentageOfReadmissionsWithin28Days","PercentageOfReadmissionsWithin133Days"
"2000/01","S08000015"," ","SMR04",12.4,34.7
"2000/01","S08000016"," ","SMR04",12.3,34.5
"2000/01","S08000017"," ","SMR04",13.4,31.6
"2000/01","S08000029"," ","SMR04",11.6,32.4
"2000/01","S08000019"," ","SMR04",13.8,29.1
"2000/01","S08000020"," ","SMR04",12.8,30.1
"2000/01","S08000031"," ","SMR04",13.4,30.6
"2000/01","S08000022"," ","SMR04",15.9,35.7
"2000/01","S08000032"," ","SMR04",11.5,29.2
"2000/01","S08000024"," ","SMR04",12.9,34.2
"2000/01","S08000030"," ","SMR04",17.2,31.8
"2000/01","S08000028"," ","SMR04",22.4,43.5
"2000/01","S92000003","d","SMR04",13.5,32.1
"2001/02","S08000015"," ","SMR04",13.3,35.4
"2001/02","S08000016"," ","SMR04",11.9,30.7
"2001/02","S08000017"," ","SMR04",9.8,26.6
"2001/02","S08000029"," ","SMR04",12.6,29.5
"2001/02","S08000019"," ","SMR04",13.8,28.4
"2001/02","S08000020"," ","SMR04",13.8,31.4
"2001/02","S08000031"," ","SMR04",12.5,30.1
"2001/02","S08000022"," ","SMR04",14.5,32.7
"2001/02","S08000032"," ","SMR04",13,29.5
"2001/02","S08000024"," ","SMR04",13.2,33.2
"2001/02","S08000030"," ","SMR04",15.1,29.7
"2001/02","S08000028"," ","SMR04",17.3,45.2
"2001/02","S92000003","d","SMR04",13.2,31.2
"2002/03","S08000015"," ","SMR04",13.1,31.6
"2002/03","S08000016"," ","SMR04",14.8,31.8
"2002/03","S08000017"," ","SMR04",13,29
"2002/03","S08000029"," ","SMR04",14.4,31.8
"2002/03","S08000019"," ","SMR04",13.8,27.1
"2002/03","S08000020"," ","SMR04",12.3,27.8
"2002/03","S08000031"," ","SMR04",11.4,28
"2002/03","S08000022"," ","SMR04",14.3,30.7
"2002/03","S08000032"," ","SMR04",12.4,28.6
"2002/03","S08000024"," ","SMR04",13.1,33.2
"2002/03","S08000030"," ","SMR04",13,27.1
"2002/03","S08000028"," ","SMR04",18.1,48.5
"2002/03","S92000003","d","SMR04",12.8,29.8
"2003/04","S08000015"," ","SMR04",11.1,30.5
"2003/04","S08000016"," ","SMR04",15.4,37.1
"2003/04","S08000017"," ","SMR04",13.3,28.9
"2003/04","S08000029"," ","SMR04",13.8,30.3
"2003/04","S08000019"," ","SMR04",14.1,27.4
"2003/04","S08000020"," ","SMR04",12.5,28.3
"2003/04","S08000031"," ","SMR04",11.3,26.3
"2003/04","S08000022"," ","SMR04",13.2,28.2
"2003/04","S08000032"," ","SMR04",12.3,26.5
"2003/04","S08000024"," ","SMR04",14.1,31.6
"2003/04","S08000030"," ","SMR04",12,26.4
"2003/04","S08000028"," ","SMR04",14.2,44.9
"2003/04","S92000003","d","SMR04",12.6,28.6
"2004/05","S08000015"," ","SMR04",10.8,30.1
"2004/05","S08000016"," ","SMR04",16.2,36
"2004/05","S08000017"," ","SMR04",12.5,29.5
"2004/05","S08000029"," ","SMR04",10.4,27.6
"2004/05","S08000019"," ","SMR04",9.9,23
"2004/05","S08000020"," ","SMR04",10.9,25.2
"2004/05","S08000031"," ","SMR04",10.9,25.8
"2004/05","S08000022"," ","SMR04",10.2,27.3
"2004/05","S08000032"," ","SMR04",12.1,26.5
"2004/05","S08000024"," ","SMR04",14.5,32.9
"2004/05","S08000030"," ","SMR04",10.6,23.5
"2004/05","S08000028"," ","SMR04",18,38
"2004/05","S92000003","d","SMR04",11.7,27.8
"2005/06","S08000015"," ","SMR04",12,28.8
"2005/06","S08000016"," ","SMR04",15,32.5
"2005/06","S08000017"," ","SMR04",11.6,26.6
"2005/06","S08000029"," ","SMR04",10,28.1
"2005/06","S08000019"," ","SMR04",8.9,22
"2005/06","S08000020"," ","SMR04",9.4,22.3
"2005/06","S08000031"," ","SMR04",11.2,25.8
"2005/06","S08000022"," ","SMR04",10.7,25.2
"2005/06","S08000032"," ","SMR04",13.1,28
"2005/06","S08000024"," ","SMR04",13,30.9
"2005/06","S08000030"," ","SMR04",13.4,27.3
"2005/06","S08000028"," ","SMR04",13.4,35.7
"2005/06","S92000003","d","SMR04",11.7,27.2
"2006/07","S08000015"," ","SMR04",10.1,28
"2006/07","S08000016"," ","SMR04",25.8,45.8
"2006/07","S08000017"," ","SMR04",10.5,22.8
"2006/07","S08000029"," ","SMR04",10.3,30
"2006/07","S08000019"," ","SMR04",9.1,23.7
"2006/07","S08000020"," ","SMR04",10,23.5
"2006/07","S08000031"," ","SMR04",10.3,24.7
"2006/07","S08000022"," ","SMR04",8.9,26.4
"2006/07","S08000032"," ","SMR04",12.2,26.9
"2006/07","S08000024"," ","SMR04",14,31.3
"2006/07","S08000030"," ","SMR04",10.7,25.2
"2006/07","S08000028"," ","SMR04",11.8,24.5
"2006/07","S92000003","d","SMR04",11.5,27.3
"2007/08","S08000015"," ","SMR04",11.7,28.1
"2007/08","S08000016"," ","SMR04",20.9,41.4
"2007/08","S08000017"," ","SMR04",10.1,23.1
"2007/08","S08000029"," ","SMR04",12.3,30.3
"2007/08","S08000019"," ","SMR04",12.8,25.8
"2007/08","S08000020"," ","SMR04",11.1,24.8
"2007/08","S08000031"," ","SMR04",11.4,26
"2007/08","S08000022"," ","SMR04",8.7,22.9
"2007/08","S08000032"," ","SMR04",12.5,27.3
"2007/08","S08000024"," ","SMR04",12.4,27.2
"2007/08","S08000030"," ","SMR04",11.9,25.8
"2007/08","S08000028"," ","SMR04",6.5,17.2
"2007/08","S92000003","d","SMR04",11.9,26.8
"2008/09","S08000015"," ","SMR04",10.3,25.1
"2008/09","S08000016"," ","SMR04",16.5,34.6
"2008/09","S08000017"," ","SMR04",9.4,24.6
"2008/09","S08000029"," ","SMR04",13.1,28.1
"2008/09","S08000019"," ","SMR04",11.9,25.1
"2008/09","S08000020"," ","SMR04",9.2,23.3
"2008/09","S08000031"," ","SMR04",9.8,24.1
"2008/09","S08000022"," ","SMR04",9.1,23.3
"2008/09","S08000032"," ","SMR04",8,22.7
"2008/09","S08000024"," ","SMR04",10.8,25.6
"2008/09","S08000030"," ","SMR04",8.5,21.9
"2008/09","S08000028"," ","SMR04",17.4,23.3
"2008/09","S92000003","d","SMR04",10.1,24.6
"2009/10","S08000015"," ","SMR04",9.8,24.3
"2009/10","S08000016"," ","SMR04",14.4,34.8
"2009/10","S08000017"," ","SMR04",11.3,27.8
"2009/10","S08000029"," ","SMR04",12.7,25.1
"2009/10","S08000019"," ","SMR04",12.1,24.8
"2009/10","S08000020"," ","SMR04",10.6,24.9
"2009/10","S08000031"," ","SMR04",9.6,22.7
"2009/10","S08000022"," ","SMR04",7.7,19.7
"2009/10","S08000032"," ","SMR04",8.6,22.7
"2009/10","S08000024"," ","SMR04",10.4,25.7
"2009/10","S08000030"," ","SMR04",8.9,22.8
"2009/10","S08000028"," ","SMR04",10.2,22
"2009/10","S92000003","d","SMR04",10.1,24
"2010/11","S08000015"," ","SMR04",9.4,21.4
"2010/11","S08000016"," ","SMR04",15.2,29.5
"2010/11","S08000017"," ","SMR04",18.5,32.2
"2010/11","S08000029"," ","SMR04",11.7,26
"2010/11","S08000019"," ","SMR04",10.1,23.5
"2010/11","S08000020"," ","SMR04",10.9,26.4
"2010/11","S08000031"," ","SMR04",8.1,21.3
"2010/11","S08000022"," ","SMR04",7,21.5
"2010/11","S08000032"," ","SMR04",11,24.9
"2010/11","S08000024"," ","SMR04",10.3,23.3
"2010/11","S08000030"," ","SMR04",7.9,20
"2010/11","S08000028"," ","SMR04",10.6,27.3
"2010/11","S92000003","d","SMR04",10,23.5
"2011/12","S08000015"," ","SMR04",9.9,24
"2011/12","S08000016"," ","SMR04",11.7,30.4
"2011/12","S08000017"," ","SMR04",18,31.8
"2011/12","S08000029"," ","SMR04",11.9,27.3
"2011/12","S08000019"," ","SMR04",7.4,17.6
"2011/12","S08000020"," ","SMR04",13.6,26.7
"2011/12","S08000031"," ","SMR04",8.2,21.1
"2011/12","S08000022"," ","SMR04",6.9,20.4
"2011/12","S08000032"," ","SMR04",9.9,24.3
"2011/12","S08000024"," ","SMR04",9.7,23.5
"2011/12","S08000030"," ","SMR04",10,23.1
"2011/12","S08000028"," ","SMR04",6.8,16.9
"2011/12","S92000003","d","SMR04",10,23.6
"2012/13","S08000015"," ","SMR04",9.7,22.4
"2012/13","S08000016"," ","SMR04",12.6,32.9
"2012/13","S08000017"," ","SMR04",20.2,33.1
"2012/13","S08000029"," ","SMR04",13.5,29.8
"2012/13","S08000019"," ","SMR04",8.8,20.7
"2012/13","S08000020"," ","SMR04",10.7,23.3
"2012/13","S08000031"," ","SMR04",8.9,21.1
"2012/13","S08000022"," ","SMR04",8.3,22.6
"2012/13","S08000032"," ","SMR04",11.2,24.1
"2012/13","S08000024"," ","SMR04",10.6,22.7
"2012/13","S08000030"," ","SMR04",11.8,24.3
"2012/13","S08000028"," ","SMR04",5.2,15.5
"2012/13","S92000003","d","SMR04",10.6,23.6
"2013/14","S08000015"," ","SMR04",8.9,21.1
"2013/14","S08000016"," ","SMR04",11.8,30.3
"2013/14","S08000017"," ","SMR04",22.5,36.6
"2013/14","S08000029"," ","SMR04",13.7,31.8
"2013/14","S08000019"," ","SMR04",10.2,22.3
"2013/14","S08000020"," ","SMR04",13,27
"2013/14","S08000031"," ","SMR04",8.5,21
"2013/14","S08000022"," ","SMR04",9.4,21.7
"2013/14","S08000032"," ","SMR04",8.7,18.8
"2013/14","S08000024"," ","SMR04",10.6,23.7
"2013/14","S08000030"," ","SMR04",12.7,25
"2013/14","S08000028"," ","SMR04",10.3,23.1
"2013/14","S92000003","d","SMR04",10.8,23.7
"2014/15","S08000015"," ","SMR04",11.5,22.3
"2014/15","S08000016"," ","SMR04",12.1,27.4
"2014/15","S08000017"," ","SMR04",28.5,43.4
"2014/15","S08000029"," ","SMR04",11.4,24.6
"2014/15","S08000019"," ","SMR04",10.7,24.1
"2014/15","S08000020"," ","SMR04",15.2,29.8
"2014/15","S08000031"," ","SMR04",7.3,19.8
"2014/15","S08000022"," ","SMR04",8.3,22.2
"2014/15","S08000032"," ","SMR04",8,17.9
"2014/15","S08000024"," ","SMR04",15.2,28.4
"2014/15","S08000030"," ","SMR04",13.9,24.3
"2014/15","S08000028"," ","SMR04",6.7,26.7
"2014/15","S92000003","d","SMR04",11.7,24.3
"2015/16","S08000015"," ","SMR04",7.6,19.5
"2015/16","S08000016"," ","SMR04",14.9,29
"2015/16","S08000017"," ","SMR04",36.4,48.4
"2015/16","S08000029"," ","SMR04",12.9,26.6
"2015/16","S08000019"," ","SMR04",15.2,26.3
"2015/16","S08000020"," ","SMR04",14.3,27.9
"2015/16","S08000031"," ","SMR04",7.7,20.8
"2015/16","S08000022"," ","SMR04",10.2,24.3
"2015/16","S08000032"," ","SMR04",9.8,20.8
"2015/16","S08000024"," ","SMR04",15.7,26.5
"2015/16","S08000030"," ","SMR04",16.7,26.9
"2015/16","S08000028"," ","SMR04",5.9,23.5
"2015/16","S92000003","d","SMR04",12.9,25.1
"2016/17","S08000015"," ","SMR04",8.5,17.4
"2016/17","S08000016"," ","SMR04",10.1,23.9
"2016/17","S08000017"," ","SMR04",24.2,38.7
"2016/17","S08000029"," ","SMR04",13.7,28.5
"2016/17","S08000019"," ","SMR04",14.7,28.8
"2016/17","S08000020"," ","SMR04",11.4,23.9
"2016/17","S08000031"," ","SMR04",8.4,20.9
"2016/17","S08000022"," ","SMR04",8.5,20.7
"2016/17","S08000032"," ","SMR04",10.7,21.1
"2016/17","S08000024"," ","SMR04",19.1,30
"2016/17","S08000030"," ","SMR04",16.3,26.6
"2016/17","S08000028"," ","SMR04",12.5,21.9
"2016/17","S92000003","d","SMR04",12.8,24.7
"2017/18","S08000015"," ","SMR04",7.4,16.6
"2017/18","S08000016"," ","SMR04",10.2,21.6
"2017/18","S08000017"," ","SMR04",26.4,40.1
"2017/18","S08000029"," ","SMR04",20.5,33.2
"2017/18","S08000019"," ","SMR04",15.3,28.6
"2017/18","S08000020"," ","SMR04",12.5,26.8
"2017/18","S08000031"," ","SMR04",9.5,21.7
"2017/18","S08000022"," ","SMR04",7.5,18.5
"2017/18","S08000032"," ","SMR04",10.5,20.7
"2017/18","S08000024"," ","SMR04",17.9,27.9
"2017/18","S08000030"," ","SMR04",8.9,19.3
"2017/18","S08000028"," ","SMR04",17.1,20
"2017/18","S92000003","d","SMR04",12.7,24.2
"2018/19","S08000015"," ","SMR04",6.4,18.1
"2018/19","S08000016"," ","SMR04",7.9,17.9
"2018/19","S08000017"," ","SMR04",30.7,43.4
"2018/19","S08000029"," ","SMR04",16.4,28.5
"2018/19","S08000019"," ","SMR04",16.4,24.1
"2018/19","S08000020"," ","SMR04",11.2,25.2
"2018/19","S08000031"," ","SMR04",13.7,22.9
"2018/19","S08000022"," ","SMR04",7.4,16.5
"2018/19","S08000032"," ","SMR04",12.1,21.2
"2018/19","S08000024"," ","SMR04",16.2,25.8
"2018/19","S08000030"," ","SMR04",9.7,21
"2018/19","S08000028"," ","SMR04",4.1,8.2
"2018/19","S92000003","d","SMR04",13.4,23.7
"2019/20","S08000015"," ","SMR04",8.3,18.4
"2019/20","S08000016"," ","SMR04",10.2,23
"2019/20","S08000017"," ","SMR04",29.6,39.4
"2019/20","S08000029"," ","SMR04",15.5,28
"2019/20","S08000019"," ","SMR04",13.8,21.5
"2019/20","S08000020"," ","SMR04",14.8,28.8
"2019/20","S08000031"," ","SMR04",12.9,22.9
"2019/20","S08000022"," ","SMR04",6.2,17.3
"2019/20","S08000032"," ","SMR04",11.2,21
"2019/20","S08000024"," ","SMR04",14.4,24.9
"2019/20","S08000030"," ","SMR04",8.7,19.4
"2019/20","S08000028"," ","SMR04",11.6,20.9
"2019/20","S92000003","d","SMR04",13,23.6
"2020/21","S08000015"," ","SMR04",8,18.4
"2020/21","S08000016"," ","SMR04",22.1,30.9
"2020/21","S08000017"," ","SMR04",27.1,38.4
"2020/21","S08000029"," ","SMR04",16.1,29.9
"2020/21","S08000019"," ","SMR04",16.4,27.1
"2020/21","S08000020"," ","SMR04",19.3,31.7
"2020/21","S08000031"," ","SMR04",14.7,25.7
"2020/21","S08000022"," ","SMR04",6.3,14.7
"2020/21","S08000032"," ","SMR04",13.9,27
"2020/21","S08000024"," ","SMR04",15.8,27.5
"2020/21","S08000030"," ","SMR04",9.8,20.6
"2020/21","S08000028"," ","SMR04",7.7,25
"2020/21","S92000003","d","SMR04",14.9,26.3
"2021/22","S08000015"," ","SMR04",6.3,15.2
"2021/22","S08000016"," ","SMR04",20.6,31.2
"2021/22","S08000017"," ","SMR04",23.8,35.4
"2021/22","S08000029"," ","SMR04",14.4,26.8
"2021/22","S08000019"," ","SMR04",14.4,24.8
"2021/22","S08000020"," ","SMR04",14.7,26.2
"2021/22","S08000031"," ","SMR04",15.6,25.8
"2021/22","S08000022"," ","SMR04",4.1,11.2
"2021/22","S08000032"," ","SMR04",14.8,25.5
"2021/22","S08000024"," ","SMR04",16.4,27.4
"2021/22","S08000030"," ","SMR04",8.7,19
"2021/22","S08000028"," ","SMR04",6.7,10
"2021/22","S92000003","d","SMR04",14.3,24.8
"2022/23","S08000015"," ","SMR04",7.9,15.4
"2022/23","S08000016"," ","SMR04",15.7,29.5
"2022/23","S08000017"," ","SMR04",25,36.9
"2022/23","S08000029"," ","SMR04",14.4,27.9
"2022/23","S08000019"," ","SMR04",13,22.1
"2022/23","S08000020"," ","SMR04",11.6,24.7
"2022/23","S08000031"," ","SMR04",16.4,26.8
"2022/23","S08000022"," ","SMR04",7,13.8
"2022/23","S08000032"," ","SMR04",12.3,24.4
"2022/23","S08000024"," ","SMR04",13.4,22.5
"2022/23","S08000030"," ","SMR04",7.5,16.8
"2022/23","S08000028"," ","SMR04",8.5,22
"2022/23","S92000003","d","SMR04",13.4,23.8
